iter	Passed	Remaining
613	18242	11468
614	18270	11437
615	18308	11412
616	18340	11384
617	18368	11353
618	18399	11325
619	18426	11293
620	18455	11263
621	18483	11232
622	18514	11203
623	18538	11170
624	18570	11142
625	18606	11116
626	18639	11088
627	18671	11060
628	18702	11030
629	18726	10997
630	18754	10967
631	18781	10936
632	18813	10907
633	18843	10878
634	18873	10848
635	18906	10820
636	18933	10789
637	18962	10759
638	18983	10724
639	19015	10696
640	19042	10665
641	19075	10637
642	19109	10609
643	19130	10575
644	19152	10541
645	19185	10513
646	19207	10479
647	19233	10447
648	19278	10426
649	19299	10392
650	19326	10360
651	19357	10331
652	19386	10302
653	19415	10271
654	19451	10245
655	19483	10217
656	19518	10189
657	19543	10157
658	19559	10120
659	19592	10093
660	19626	10065
661	19651	10033
662	19672	9999
663	19698	9967
664	19728	9938
665	19763	9911
666	19799	9884
667	19823	9852
668	19842	9817
669	19873	9788
670	19905	9759
671	19927	9726
672	19958	9697
673	19986	9667
674	20020	9639
675	20097	9632
676	20150	9613
677	20184	9586
678	20221	9559
679	20247	9528
680	20273	9496
681	20296	9463
682	20328	9434
683	20357	9405
684	20385	9374
685	20418	9346
686	20439	9312
687	20471	9283
688	20494	9250
689	20520	9219
690	20543	9186
691	20572	9156
692	20596	9124
693	20623	9093
694	20662	9067
695	20679	9032
696	20702	8999
697	20735	8971
698	20757	8938
699	20786	8908
700	20822	8881
701	20848	8850
702	20890	8825
703	20919	8795
704	20959	8770
705	20996	8743
706	21036	8718
707	21072	8690
708	21106	8662
709	21134	8632
710	21169	8604
711	21197	8574
712	21223	8543
713	21245	8509
714	21281	8482
715	21315	8454
716	21355	8429
717	21390	8401
718	21421	8372
719	21457	8344
720	21481	8312
721	21519	8285
722	21542	8253
723	21578	8225
724	21611	8197
725	21636	8165
726	21668	8136
727	21707	8110
728	21740	8081
729	21776	8054
730	21847	8039
731	21875	8008
732	21905	7979
733	21937	7950
734	21961	7918
735	21996	7890
736	22039	7864
737	22075	7837
738	22109	7808
739	22140	7779
740	22169	7748
741	22193	7716
742	22226	7688
743	22250	7656
744	22280	7626
745	22309	7596
746	22348	7569
747	22377	7539
748	22404	7507
749	22437	7479
750	22470	7450
751	22501	7420
752	22527	7389
753	22557	7359
754	22582	7327
755	22601	7294
756	22622	7261
757	22660	7234
758	22693	7205
759	22720	7174
760	22752	7145
761	22783	7116
762	22807	7084
763	22831	7052
764	22864	7023
765	22895	6994
766	22920	6962
767	22945	6931
768	22970	6900
769	23000	6870
770	23031	6840
771	23053	6808
772	23086	6779
773	23116	6749
774	23149	6720
775	23181	6691
776	23216	6663
777	23239	6631
778	23270	6601
779	23301	6572
780	23326	6540
781	23351	6509
782	23396	6484
783	23426	6454
784	23457	6424
785	23485	6394
786	23518	6365
787	23546	6334
788	23578	6305
789	23610	6276
790	23639	6245
791	23663	6214
792	23694	6184
793	23724	6155
794	23748	6123
795	23775	6093
796	23807	6063
797	23840	6034
798	23870	6004
799	23901	5975
800	23935	5946
801	23966	5916
802	23999	5887
803	24035	5859
804	24066	5829
805	24089	5798
806	24113	5766
807	24140	5736
808	24192	5711
809	24238	5685
810	24287	5660
811	24333	5633
812	24355	5602
813	24386	5572
814	24412	5541
815	24445	5512
816	24479	5483
817	24511	5453
818	24540	5423
819	24565	5392
820	24590	5361
821	24618	5330
822	24652	5302
823	24685	5272
824	24706	5240
825	24745	5212
826	24784	5184
827	24817	5155
828	24855	5127
829	24891	5098
830	24926	5069
831	24959	5039
832	25004	5012
833	25029	4981
834	25052	4950
835	25104	4924
836	25136	4895
837	25166	4865
838	25203	4836
839	25305	4820
840	25353	4793
841	25440	4773
842	25483	4745
843	25525	4717
844	25564	4689
845	25624	4664
846	25662	4635
847	25698	4606
848	25741	4578
849	25776	4548
850	25805	4518
851	25832	4487
852	25872	4458
853	25911	4429
854	25940	4399
855	25979	4370
856	26017	4341
857	26039	4309
858	26071	4279
859	26102	4249
860	26130	4218
861	26151	4186
862	26195	4158
863	26227	4128
864	26255	4097
865	26285	4067
866	26318	4037
867	26338	4005
868	26373	3975
869	26399	3944
870	26420	3913
871	26445	3881
872	26464	3849
873	26495	3819
874	26522	3788
875	26551	3758
876	26580	3727
877	26601	3696
878	26622	3664
879	26653	3634
880	26694	3605
881	26729	3576
882	26751	3544
883	26782	3514
884	26807	3483
885	26836	3452
886	26867	3422
887	26893	3392
888	26919	3361
889	26967	3333
890	27004	3303
891	27035	3273
892	27065	3243
893	27092	3212
894	27121	3181
895	27143	3150
896	27171	3120
897	27196	3089
898	27218	3057
899	27248	3027
900	27276	2997
901	27307	2966
902	27336	2936
903	27366	2906
904	27383	2874
905	27415	2844
906	27441	2813
907	27472	2783
908	27492	2752
909	27516	2721
910	27545	2691
911	27574	2660
912	27605	2630
913	27633	2600
914	27692	2572
915	27719	2541
916	27753	2512
917	27782	2481
918	27813	2451
919	27839	2420
920	27869	2390
921	27892	2359
922	27914	2328
923	27952	2299
924	27977	2268
925	28010	2238
926	28039	2208
927	28073	2178
928	28092	2147
929	28130	2117
930	28151	2086
931	28182	2056
932	28210	2025
933	28235	1995
934	28273	1965
935	28313	1935
936	28346	1905
937	28373	1875
938	28394	1844
939	28416	1813
940	28444	1783
941	28491	1754
942	28524	1724
943	28554	1693
944	28583	1663
945	28612	1633
946	28710	1606
947	28800	1579
948	28867	1551
949	28917	1521
950	28979	1493
951	29029	1463
952	29065	1433
953	29098	1403
954	29141	1373
955	29186	1343
956	29216	1312
957	29263	1282
958	29300	1252
959	29335	1222
960	29374	1192
961	29404	1161
962	29444	1131
963	29479	1100
964	29507	1070
965	29543	1039
966	29571	1009
967	29605	978
968	29666	949
969	29702	918
970	29744	888
971	29779	857
972	29816	827
973	29848	796
974	29883	766
975	29923	735
976	29958	705
977	29991	674
978	30015	643
979	30043	613
980	30076	582
981	30101	551
982	30132	521
983	30162	490
984	30192	459
985	30219	429
986	30250	398
987	30275	367
988	30308	337
989	30331	306
990	30355	275
991	30387	245
992	30420	214
993	30443	183
994	30490	153
995	30521	122
996	30555	91
997	30581	61
998	30619	30
999	30647	0
